{abd, cac, ecb, dej, fdf, bfa}
{deb, abc, cdf, fcd, bfa, eaj}
{adf, cab, fcd, ebc, dej, bfa}
{dcc, cab, ebd, aej, fdf, bfa}
{bcb, cfd, adf, dbc, eaa, fej}
{cfd, dda, abc, ecb, baf, fej}
{bec, adf, dca, ebb, ffd, caj}
{ded, adf, ecb, fac, cbj, bfa}
{cdb, dcc, aad, ebf, fej, bfa}
{cfd, dda, ecb, baf, fbc, aej}
{cfd, abc, ecb, bej, faa, ddf}
{cfd, bbc, ecb, faa, ddf, aej}
{abd, cdc, ecb, daf, fej, bfa}
{abc, dca, cdf, ffd, beb, eaj}
{ebb, cdf, fcd, dac, aej, bfa}
{cdc, dca, ebb, ffd, baf, aej}
{cfd, abb, dca, eac, bej, fdf}
{cfd, adf, dca, fbc, beb, eaj}
{bcb, cfd, eaa, fbc, ddf, aej}
{bcb, cfd, abc, eaa, ddf, fej}
{dbc, cdf, ecb, aad, fej, bfa}
{abb, cdc, def, fcd, bfa, eaj}
{adf, dcc, cab, ebd, fej, bfa}
{bcb, cfd, dbc, eaa, aej, fdf}
{bcb, dbc, eaa, cdf, ffd, aej}
{abb, cdf, fcd, eac, dej, bfa}
{adf, dca, ffd, eac, cbj, beb}
{ebb, cac, fcd, ddf, aej, bfa}
{adf, dca, ebb, cac, ffd, bej}
{abb, bec, dca, cdf, ffd, eaj}
{adf, eaa, dcc, ffd, cbj, beb}
{bcb, dda, cac, ffd, aej, ebf}
{cdc, ecb, aad, fef, bfa, dbj}
{cab, fcd, ddf, ebc, aej, bfa}
{cfd, adf, dbc, ecb, bej, faa}
{cdc, ebb, fcd, aej, daf, bfa}
{bcb, abc, eaa, cdf, ffd, dej}
{cfd, abc, dca, fdf, beb, eaj}
{abb, eaa, cdf, dcc, ffd, bej}
{deb, adf, fcd, eac, cbj, bfa}
{cfd, feb, adf, bbc, dca, eaj}
{cfd, adf, ebb, dcc, bej, faa}
{adf, cba, ecb, ffd, bej, dac}
{adf, cac, ecb, dbd, fej, bfa}
{cfd, adf, dca, ebb, bej, fac}
{cdf, ecb, dbd, aej, fac, bfa}
{cdb, fcd, ebc, aej, daf, bfa}
{cfd, abb, bec, dca, fdf, eaj}
{feb, adf, dcc, ebd, bfa, caj}
{abb, dca, cdf, ffd, eac, bej}
{cdf, ecb, aad, fbc, dej, bfa}
{bfe, abd, cac, ecb, dej, fdf}
{cfd, deb, abc, bce, fdf, eaj}
{adf, ffd, ebc, dce, caj, beb}
{abc, cfe, bad, ecb, dej, fdf}
{bfe, adf, ebb, cac, fcd, dej}
{cfd, feb, adf, bbc, dce, eaj}
{bfe, ebb, cdf, dcc, aad, fej}
{cfe, bad, ecb, fbc, ddf, aej}
{abb, cfe, fcd, eac, bej, ddf}
{adf, cfe, ebb, fcd, bej, dac}
{cfd, adf, ebb, bej, dce, fac}
{deb, adf, bce, ffd, ebc, caj}
{adf, ebb, cac, ffd, bej, dce}
{cdb, ffd, baf, ebc, dce, aej}
{cdb, bfe, dcc, aad, ebf, fej}
{cdb, abc, def, bce, ffd, eaj}
{bcb, ded, adf, cfe, fbc, eaj}
{cfe, ebb, dcc, aad, bej, fdf}
{abb, bec, cfe, fcd, ddf, eaj}
{cfe, dbc, bad, ecb, aej, fdf}
{cfd, feb, adf, dbc, bce, eaj}
{bfe, ded, adf, ecb, fbc, caj}
{cdc, ebb, ffd, baf, aej, dce}
{adf, cfe, dbc, fcd, beb, eaj}
{bfe, abd, cdc, ecb, daf, fej}
{bcb, ded, abc, cfe, fdf, eaj}
{cfe, ecb, aad, bej, fbc, ddf}
{cfd, abb, bce, eac, dej, fdf}
{bfe, abd, cdf, ecb, dej, fac}
{bbc, cfe, ecb, aad, dej, fdf}
{adf, cfe, bad, ecb, fbc, dej}
{deb, bfe, adf, fcd, eac, cbj}
{bcb, adf, cfe, ebd, dac, fej}
{adf, ffd, eac, dce, cbj, beb}
{bec, adf, ebb, ffd, dce, caj}
{adf, ecb, ffd, bej, dac, cbe}
{cfd, abb, bec, dce, fdf, eaj}
{abd, cfe, dcc, fdf, beb, eaj}
{cdb, bfe, abc, def, fcd, eaj}
{cdb, bfe, abd, dcc, fef, eaj}
{bfe, abd, feb, cdf, dcc, eaj}
{deb, bfe, adf, fcd, ebc, caj}
{bce, ffd, cab, ddf, ebc, aej}
{adf, bce, ffd, cab, ebc, dej}
{bfe, adf, cab, fcd, ebc, dej}
{abb, cdc, def, bce, ffd, eaj}
{cdb, bfe, fcd, dac, aej, ebf}
{abc, cdf, ffd, dce, beb, eaj}
{bcb, adf, cfe, ebd, dej, fac}
{abb, cdf, ffd, eac, bej, dce}
{adf, cfe, ecb, bbd, dej, fac}
{bfe, adf, cac, ecb, dbd, fej}
{bfe, ebb, cdf, fcd, dac, aej}
{bfe, cdc, ebb, fcd, aej, daf}
{adf, cfe, fcd, eac, dbj, beb}
{cfe, ebb, bad, dcc, aej, fdf}
{adf, ebb, cac, bce, ffd, dej}
{bfe, cac, ecb, dbd, aej, fdf}
{bfe, ded, adf, ecb, fac, cbj}
{bcb, cfe, aad, ebc, dej, fdf}
{abb, bfe, cdc, def, fcd, eaj}
{bcb, adf, ffd, eac, cbe, dej}
{adf, cfe, dbc, bad, ecb, fej}
{abd, cfe, ecb, bej, ddf, fac}
{bcb, ffd, eac, cbe, ddf, aej}
{bfe, ded, abc, ecb, fdf, caj}
{abc, cfe, fcd, ddf, beb, eaj}
{bcb, adf, cfe, eac, dbd, fej}
{deb, adf, bbc, cfe, fcd, eaj}
{abb, bec, cdf, ffd, dce, eaj}
{bec, cfe, ecb, aad, fdf, dbj}
{cfe, ecb, bbd, dac, aej, fdf}
{cfe, dbc, ecb, aad, bej, fdf}
{cdb, bfe, fcd, ebc, aej, daf}
{cdc, ebb, bce, ffd, aej, daf}
{deb, abc, cdf, bce, ffd, eaj}
{deb, bfe, abc, cdf, fcd, eaj}
{bfe, dcc, cab, ebd, aej, fdf}
{cfd, feb, adf, bce, eac, dbj}
{abc, cfe, bad, ecb, ddf, fej}
{cfd, ebb, bce, dac, aej, fdf}
{bfe, cdf, ecb, aad, fbc, dej}
{bfe, abd, cac, ecb, ddf, fej}
{adf, cfe, ecb, bej, dbd, fac}
{adf, ffd, cab, bej, ebc, dce}
{ebb, cac, bce, ffd, ddf, aej}
{abb, cdf, bce, ffd, eac, dej}
{abb, bfe, cdf, fcd, eac, dej}
{cfd, adf, ebb, bce, dac, fej}
{cfd, feb, abc, bce, ddf, eaj}
{bfe, cdf, ecb, dbd, aej, fac}
{cfd, abb, eac, bej, dce, fdf}
{adf, cfe, ecb, bbd, dac, fej}
{cfd, adf, fbc, dce, beb, eaj}
{bbc, cfe, ecb, aad, ddf, fej}
{bcb, cfe, eac, dbd, aej, fdf}
{cfd, abb, bce, eac, ddf, fej}
{cfd, ebb, bce, ddf, aej, fac}
{bfe, feb, adf, dcc, ebd, caj}
{feb, adf, cfe, dcc, bbd, eaj}
{bcb, cfe, ebd, dac, aej, fdf}
{bfe, adf, dcc, cab, ebd, fej}
{cdb, bce, ffd, ebc, aej, daf}
{cfd, abc, dce, fdf, beb, eaj}
{bfe, dbc, cdf, ecb, aad, fej}
{bcb, cfe, aad, ddf, ebc, fej}
{abd, cfe, ecb, bej, dac, fdf}
{bcb, abd, cfe, eac, dej, fdf}
{bcb, cfe, ebd, ddf, aej, fac}
{cfd, deb, adf, bce, fbc, eaj}
{cdb, bce, ffd, dac, aej, ebf}
{bfe, abd, cdf, ecb, dac, fej}
{ebb, cdf, bce, ffd, dac, aej}
{bfe, cdc, ecb, aad, fef, dbj}
{cfd, adf, ebb, bce, dej, fac}
{bfe, cab, fcd, ddf, ebc, aej}
{bfe, ebb, cac, fcd, ddf, aej}
{deb, adf, bce, ffd, eac, cbj}
{cfe, ecb, bbd, ddf, aej, fac}
{adf, dcc, ffd, cbe, beb, eaj}
{adf, cfe, ebb, bad, dcc, fej}
{bcb, abd, cfe, eac, ddf, fej}
{cfd, deb, abc, eaa, bce, fdf}
{cdb, bfe, abd, eaa, dcc, fef}
{bfe, abd, feb, eaa, cdf, dcc}
{dda, bfe, abd, cac, ecb, fef}
{deb, abc, eaa, cdf, bce, ffd}
{bcb, dda, abd, cfe, fef, eac}
